customerID,creditCard,limit,sex,firstname,lastname,date_of_birth,email,phone_Number,jobID,education,addressID
58,379586612212358,1000,False,Mark,Morgan,1995-09-14,joseph51@wright-johnson.biz,784.722.9113,3,5,1
59,4535870514057,2000,True,Monica,Robert,1963-10-13,qfoley@burke.biz,346-106-5356x7478,4,1,5
60,180011083179498,4000,True,Kathleen,Terry,1967-09-07,cohenmiranda@yahoo.com,+1-779-573-1728x5583,7,1,0
61,4342884202105512,1000,True,Kimberly,Daniel,1996-10-16,josephjohnston@nolan-carter.com,546.013.7184x89490,1,4,1
62,4367982075126027,3000,True,Kathleen,Maria,1986-07-29,cdudley@gmail.com,001-827-203-2272x3360,5,4,5
63,4159664587357769,4000,True,Sharon,Lisa,1986-04-24,cherylprice@gmail.com,+1-694-745-0199x196,6,2,7
64,630464054125,3000,True,Anne,Joshua,1965-05-03,qwalker@dunn.com,(597)115-2464x0110,7,5,5
65,4480348756545,5000,True,Regina,Denise,1971-05-12,juliawheeler@curry.com,001-358-362-7717x09953,4,3,3
66,4902597620674157075,1500,True,Kelly,Barbara,1970-06-18,melaniereynolds@gmail.com,001.079.1050,5,1,3
67,4293872392480505,1000,False,Justin,Johnny,1990-07-14,archerjanet@wilson-sanchez.com,949-648-9850,5,5,1
68,2293003648532295,4000,False,Robert,Brian,1985-06-26,joshuajames@adams.com,(094)103-4172x23911,7,5,5
69,4258107173530768206,1000,False,Ricky,Aaron,1999-01-24,stuart47@sanchez.info,383-440-2705x1779,1,4,6
70,4063111597435636,1000,False,Matthew,David,1995-08-31,woodardamy@hotmail.com,657.389.9025x98677,7,5,3
71,2367463401375319,3000,False,Mario,Robert,1980-05-03,kimberlymunoz@burton-turner.biz,(867)694-5364x6914,4,5,5
72,213196679541648,1500,False,Jason,Eric,1988-09-20,james09@gmail.com,047.812.1749,0,5,4
73,4084687950392915,1000,True,Katherine,Karen,2003-06-16,webstershane@wilson-reynolds.info,510-025-3178x5331,6,2,2
74,3528346363874656,2000,False,Jordan,Allen,1999-10-27,hdoyle@yahoo.com,+1-723-147-6533,4,2,3
75,213114557973015,1500,True,Lisa,Gina,2001-06-05,edwardwright@mooney-thomas.biz,001-292-887-5424,2,1,7
76,30459748052307,4000,False,Eric,Kristen,1994-10-21,smontgomery@yahoo.com,785-101-5192x52365,2,4,1
77,344344560228493,3000,False,Johnathan,April,2003-07-27,karen89@marsh.org,(951)484-7030x8326,6,5,1
78,4417305109393688,2000,True,Heather,Jessica,1965-09-16,curtismark@yahoo.com,001-000-466-7719,0,5,1
79,36493025759643,1000,True,Lori,Douglas,1964-08-07,jessica43@gmail.com,(746)283-3185x3939,5,4,7
80,3593345216674271,5000,True,Betty,Andrea,1963-02-21,amanda05@lee-west.net,344.156.4558x4957,4,1,6
81,3560320939818264,1000,False,Michael,Lisa,1984-02-10,burkedavid@hotmail.com,372-794-3996x33351,5,5,6
82,2255555651841026,4000,False,Ricardo,Peter,1969-10-27,dorispeters@shaw.org,(565)862-1634x8857,7,1,5
83,3513353264365294,1000,True,Stephanie,Jeffrey,1980-09-20,williamssara@king.biz,(465)731-0145,5,4,6
84,213112596423091,5000,False,Steven,Frances,1990-07-24,nicholas05@ramos.info,(175)592-4017x9021,1,4,4
85,4210508619523525,1000,True,Kelly,Dustin,1998-12-10,troycummings@gmail.com,+1-693-737-5025,4,5,7
86,4003896074443144,1500,False,Jeremy,Nicole,1964-04-13,vdawson@gmail.com,016-693-6154,1,4,5
87,4799634276980888,1500,False,David,Brandi,1989-03-31,sheppardtravis@wallace.com,001-423-344-6098x23381,4,5,3
88,4658472216161339,4000,True,Sydney,Eric,1982-07-19,lwatson@parsons-howard.net,+1-177-090-4964x067,7,1,3
89,2449834249453173,5000,True,Jeanette,Stephen,1970-01-01,lreilly@gmail.com,001-571-660-8008x0288,0,1,0
90,36692084448408,1500,False,Scott,Juan,1963-09-02,barnesrichard@moore.net,389.817.6466x3837,3,2,7
91,3571138233849018,4000,False,Jacob,Jason,1976-03-23,thomas48@mcdaniel.net,001-435-955-3744x9548,1,4,4
92,38934276246770,1000,True,Angelica,Taylor,1995-07-11,benjamin74@hotmail.com,794.265.2834,5,5,3
93,6553105048082155,3000,True,Kimberly,Anthony,2001-10-26,mcguirethomas@gmail.com,320-023-6762,7,2,0
94,6011272418982236,1500,False,Matthew,Tara,2001-04-28,qaustin@west.biz,878-804-7641,7,1,2
95,6537708539026200,1500,False,Kevin,Samantha,1983-12-30,sjenkins@yahoo.com,2015141535,1,1,1
96,579535144383,1000,False,James,Reginald,1981-10-06,qramos@lin.com,(501)158-6803x51162,7,3,0
97,4690183342413,1500,True,Tiffany,James,2002-11-15,william14@hotmail.com,+1-106-324-7795,0,4,0
98,4149567392161278608,1500,False,Mark,Anthony,1962-02-11,scottdavis@richard.com,001-671-358-7905,2,1,5
99,4339287295248,2000,True,Brittany,Jill,1985-11-15,devinsolis@miranda.com,+1-817-508-4743,3,2,4
100,4283790130172485,5000,False,David,Roberto,1987-11-28,tmalone@moran.com,7774932180,7,1,1
101,4126057197656318,5000,False,James,Ryan,1997-05-15,mikemartinez@hotmail.com,(031)693-7295x76486,7,4,6
102,30408098739021,5000,False,Michael,Meredith,1998-11-30,joannacallahan@diaz.biz,001-411-413-0574,1,1,2
103,3590037287151387,1000,False,Eric,Lisa,1995-11-30,simmonskatrina@smith-williams.com,987-256-5136x607,5,2,6
104,4899924235686539,3000,False,Anthony,Bailey,1965-11-23,abigail42@hart.com,411-324-1545,0,4,4
105,2717685222322321,4000,True,Elizabeth,David,1998-04-05,lonnie66@gmail.com,(996)162-9766,2,1,6
106,4410312210474579633,1000,True,Melissa,Christy,1979-09-18,ryan57@yahoo.com,+1-798-548-0629x92759,6,2,1
107,4925776316645497,4000,False,Larry,Ann,1962-04-11,hschmidt@hotmail.com,(358)042-0401x5757,3,3,6
108,6011202943782801,5000,True,Melissa,Elizabeth,1988-04-28,steven86@gmail.com,278.940.9035x0057,4,4,4
109,4303408860980912,3000,True,Jenna,Darren,1986-10-01,joseph20@gmail.com,+1-357-459-0909x11187,5,3,7
110,501848397573,2000,True,Jodi,Blake,1974-12-05,meganlewis@yahoo.com,075-379-1211x85142,5,2,4
111,3592890316976978,4000,False,Curtis,Jeffery,2000-07-31,gabriela18@green-morrison.com,001-485-996-6187x1204,6,4,1
112,4355633838472703323,4000,True,Kristen,Kristi,1978-07-09,patty66@gmail.com,(443)860-4271x547,4,5,7
113,348047334178375,5000,True,Angela,Edward,1989-03-03,karenporter@costa.com,124.323.6710,5,3,0
114,6544394512069359,3000,False,Scott,Olivia,1967-08-28,karen40@yahoo.com,+1-532-547-8085x717,3,2,3
115,38625844368332,2000,True,Katie,Chad,1999-07-01,rogerslaura@randall.com,001-420-492-4568,2,4,5
116,4655979894711,2000,False,James,Heather,1981-07-30,thomaswiggins@bell-wagner.info,(525)985-6595x121,5,2,5
117,4479108021961291191,3000,True,Brandi,Andrea,1983-03-06,beverly23@ramirez-beltran.com,7921731675,3,1,4
118,3577559577105317,1500,False,Gregory,Candace,2000-05-26,fbrown@frazier.com,+1-734-587-5541x87089,2,5,5
119,3566001501577835,1500,True,Brittany,Abigail,2002-01-14,longdavid@yahoo.com,021-746-4041x004,0,4,2
120,4324850468306732,1000,False,Nathan,Robert,1983-05-21,dakotashah@yahoo.com,001-084-759-9453,6,2,5
121,3546601594129447,1000,True,Gina,Bradley,1995-09-19,gclarke@hotmail.com,228.251.2463x7955,5,1,5
122,3538932818715194,5000,True,Leslie,Gregory,2001-09-22,johnsonchristina@gill-olsen.com,289-468-9331,1,2,6
123,3502061856466726,1500,True,Nicole,Samuel,1981-11-27,fordbenjamin@gmail.com,(131)041-0762x2460,6,5,7
124,30121487478248,4000,True,Margaret,Steven,1987-09-20,glenn71@yahoo.com,001-516-107-4011x8533,2,3,1
125,4967244134210407,3000,False,Christopher,Randy,2001-11-24,brittany63@brooks-lee.net,001-240-761-4497x18883,1,5,2
126,4868876225815592,2000,True,Tina,Jennifer,1986-09-15,lanejoyce@hotmail.com,(911)570-8501x748,7,1,4
127,4470555230445149712,1000,True,Kristi,Kristin,1986-04-26,stevengomez@craig.com,(498)778-2773,5,1,0
128,6519838007603503,3000,False,Glenn,Christina,1965-07-24,kevin97@hotmail.com,603.553.8797x144,0,2,5
129,4581222376058862,5000,True,Cassandra,Christine,1967-07-18,ccohen@gmail.com,(052)040-9663,7,5,6
130,213145079224347,2000,True,Jessica,Alyssa,1994-01-14,ortizmichael@lucas-griffin.org,211-845-9283x71258,5,5,0
131,3571825520017727,2000,True,Laura,Karen,1976-11-27,tiffany54@howard-lee.com,+1-297-519-5807x6443,4,3,3
132,3500781806853010,2000,True,Krista,Theresa,1988-12-10,micheal77@yahoo.com,(220)765-5677x9281,3,4,2
133,3542872279235692,2000,False,Benjamin,Janice,1999-04-09,michellebeard@martin.biz,593.793.1827x1192,2,2,0
134,4579500769077340,3000,True,Stacy,Deborah,1993-07-26,donald31@cook.info,102-253-7446x92610,1,4,7
135,4531097913040,1500,False,Zachary,Mary,1994-12-31,christine00@hotmail.com,(388)287-1397x63711,0,3,3
136,30086296840625,2000,False,Michael,Tracy,1990-05-29,bramirez@foster-garrett.info,226.794.7353x062,6,5,2
137,180045807060865,3000,True,Madeline,Justin,1999-07-17,elizabeth48@martinez-krause.org,+1-509-786-3136x69742,7,5,0
138,376936029650083,2000,True,Erica,Stephen,1995-08-31,joneill@robinson.com,572.323.1219,1,4,3
139,6567941892861177,5000,False,Charles,Timothy,1982-08-03,robertlopez@yahoo.com,070-133-9772,3,4,4
140,213139894878940,2000,False,Jesse,Ian,2003-05-01,lawrencemaria@hotmail.com,296.812.7759x035,6,3,1
141,4809828413088,4000,True,Mary,Joseph,1976-07-18,danrandolph@mitchell.com,(145)807-4647,1,4,1
142,30328712046670,4000,False,Wesley,Anna,1992-03-04,leechristopher@gmail.com,461-833-4236x41846,0,5,1
143,213121919469277,3000,True,Brittany,Donald,1967-10-02,juan17@gmail.com,(671)656-6019x614,2,4,5
144,4755534465622383524,4000,True,Jacqueline,Erik,1998-02-12,jamesdickson@coleman.com,523.691.0160x12134,5,4,2
145,30390041539171,2000,True,Lisa,Dawn,1977-12-03,wtrevino@ward.com,(737)550-4210x79385,4,5,1
146,2240891786235364,3000,True,Joyce,Eric,1986-08-19,shawkyle@warner.com,+1-689-811-8780x3789,2,5,3
147,6555582570262744,3000,True,Diana,Michael,1988-04-04,theresa41@gomez.com,203.283.3463,1,3,1
148,3505755633309383,5000,True,Tricia,Kenneth,1966-09-18,reginaldbray@gmail.com,049-138-8357x3691,2,3,7
149,4534660556259171342,1000,True,Brenda,William,1986-05-31,tmorales@powell.com,001-264-286-5556x7114,6,3,4
150,6011157733522603,1000,False,Joseph,Erin,1975-07-17,yfernandez@gibson-barker.org,046.493.7813,6,5,7
151,4078828444738911,2000,True,Olivia,Brian,1989-02-01,bellwilliam@hale.biz,(239)006-0405,1,5,7
152,4899874105796449,1500,True,Elizabeth,Jennifer,1965-06-26,monica12@tyler.info,+1-673-569-2357x564,6,4,0
153,3512690921669456,4000,False,Stephen,Joshua,1990-09-04,phillip38@hotmail.com,124.743.5286x294,0,1,4
154,343731032200327,4000,False,Frank,Mitchell,1967-12-17,echambers@gmail.com,187-318-3114x5671,3,2,2
155,4333267270701,5000,True,Nicole,Joshua,1983-02-19,dgibbs@sanchez.com,(887)032-1184x445,1,1,6
156,377952656999387,5000,True,Cynthia,Jeffery,1969-04-08,sgrant@yahoo.com,+1-724-916-9835x032,4,2,5
157,372935821067698,5000,False,Mark,Sarah,1984-04-02,danielle20@hotmail.com,+1-182-375-5748x43173,2,5,1
158,4246490253593,3000,True,Pamela,Debra,1996-01-07,cynthia85@hoover.com,+1-394-302-4075x8438,3,2,6
159,180046380757133,4000,False,Mark,Richard,1962-08-30,danielstuart@yahoo.com,208.277.3719x26528,3,5,1
160,6011664236317761,1000,False,Jamie,Marc,1974-05-22,beckyjensen@jones-may.biz,646.247.3299,5,4,0
161,6565945707121273,2000,False,Paul,Patrick,1976-12-30,henry10@yahoo.com,+1-805-277-0285x169,6,5,5
162,4748579362185037,1500,False,Adam,Justin,1977-11-17,teresa53@johnson.org,001-762-031-1043x269,1,2,1
163,2244250287025947,1500,True,Jackie,George,1979-06-25,kimberly04@yahoo.com,4560346222,2,1,2
164,3592978075199229,3000,True,Sara,Raymond,1991-10-28,desiree47@hotmail.com,(225)206-7033,2,5,5
165,4570332557776803,1500,False,Brian,Deborah,1972-05-23,trocha@lee.com,001-296-592-1741,6,1,3
166,4981254872221986013,2000,True,Jennifer,Sue,1979-04-24,bennettdavid@gmail.com,+1-072-871-4790,6,5,0
167,377916124092638,1000,True,Brooke,Matthew,1985-07-27,kwilliams@hotmail.com,109.221.6512x61787,5,5,5
168,502025200929,1500,False,Michael,Steven,1984-02-25,cevans@yahoo.com,778.891.2865,7,3,3
169,4950620920048342,3000,True,Courtney,Crystal,2003-03-31,deanchristopher@hotmail.com,5003229377,3,2,2
170,3537142359606627,1000,False,David,Stephanie,1984-09-13,margaret46@moreno.com,001-843-777-2999,5,5,1
171,3529239846080430,1000,False,Evan,Sonya,1997-02-19,htaylor@ruiz.com,(068)973-7342,6,5,1
172,4294958535536466,3000,True,Carolyn,Melanie,1963-04-23,james61@thomas.info,+1-093-386-2759x6408,0,2,7
173,3593414364520304,1000,False,James,Craig,1963-04-03,joehill@martin.net,001-846-658-7580x56223,6,2,0
174,5414999761687021,1500,True,Sandra,Gregory,1995-08-07,vanessa31@murray-watkins.com,9537519678,6,5,5
175,566897233193,2000,True,Claire,Brandon,1965-12-04,nicholas28@williams-horton.com,662-455-3485x248,6,3,2
176,4303579601822975,1500,False,Brian,Bobby,1989-05-19,ldavis@gmail.com,892-962-4843x1978,4,1,6
177,4802545594103489,1500,True,Ashley,Brittany,1997-12-15,martineztracie@hotmail.com,(156)937-8834x191,2,4,4
178,30059974922411,1500,True,Sarah,Tara,1977-05-09,annelogan@yahoo.com,(158)197-5163,5,4,1
179,3505533593871340,1000,False,Ryan,Dana,1991-01-19,amandamills@smith.com,001-844-479-7427x3366,4,3,6
180,4422014621825697,1000,False,Scott,Anthony,1991-08-13,hancockjessica@yahoo.com,562.844.9066x8182,2,2,0
181,6011032491762628,1500,False,Anthony,Ronald,1972-10-22,stephanieellis@hotmail.com,(510)193-2799,6,1,6
182,676351269813,2000,False,Michael,Deborah,1989-05-30,rthomas@gmail.com,001-340-288-6177x7191,0,1,0
183,3506273082746807,1000,True,Sheri,Christopher,1992-02-13,victoriasmith@rice.com,858-482-5429x10783,0,1,5
184,676264622850,5000,False,Robert,Molly,1999-10-11,sierracampbell@scott-figueroa.com,169.146.2545x0084,4,5,0
185,4257181059187880,5000,False,Scott,Cathy,1995-09-07,davidcarroll@hotmail.com,(240)590-3891x10681,0,4,2
186,4453226448519,3000,True,Sharon,Pamela,1994-10-13,shawn58@hotmail.com,001-340-249-7297x416,4,4,1
187,3546477655723752,1500,False,Shaun,Catherine,1987-09-06,kaylasanchez@gmail.com,970-298-2537x575,3,2,2
188,180045367231609,2000,False,Jerome,James,1982-03-05,murraysarah@kelly.biz,636-458-9048x4240,5,2,6
189,2227528058468490,1500,True,Stephanie,Michelle,2000-12-06,rgoodwin@rodriguez.info,001-803-055-7794x8899,4,1,3
190,30599153406892,4000,True,Mary,Adam,1995-03-24,davidjones@yahoo.com,001-801-831-4656,7,1,0
191,4602381398569432,5000,False,Billy,Barbara,1970-08-24,lsmith@hotmail.com,351-080-9295x365,3,2,6
192,3564774752130197,1500,False,David,Gloria,1962-01-18,tcooper@hotmail.com,133-421-3265x049,4,4,4
193,376670948547431,1500,True,Ruth,Jennifer,1962-12-29,znguyen@wilkerson-lee.com,(100)702-1959x3404,4,1,1
194,3529358157019835,3000,True,Wendy,Samantha,1985-01-06,rmoran@yahoo.com,170.324.2644x3381,0,3,0
195,2260195471851658,5000,True,Rachael,Alison,1985-04-10,georgereynolds@gmail.com,386-946-1003x726,1,4,0
196,4300991876823955,5000,False,Robert,Erika,1978-12-17,camposjeremy@blake.com,001-281-066-1422,1,1,0
197,30005494231718,4000,False,Craig,Alexa,1968-12-16,john67@yahoo.com,001-672-865-2531x9248,6,3,4
198,3519103408303444,3000,True,Jennifer,Nathaniel,1988-11-03,john68@hotmail.com,5034732110,2,4,7
199,6011213294945780,2000,True,Tiffany,Ryan,1973-10-26,parkerpeggy@morales.org,0780188401,6,1,5
